date,CO,year,month,day
2001-01-01,0.9984000007743421,2001,1,1
2001-01-02,0.709883972572115,2001,1,2
2001-01-03,0.8711858974077189,2001,1,3
2001-01-04,0.8488461539620915,2001,1,4
2001-01-05,1.1970673063650537,2001,1,5
2001-01-06,0.7566666652758917,2001,1,6
2001-01-07,0.7882211535022808,2001,1,7
2001-01-08,1.2575326941218465,2001,1,8
2001-01-09,1.3412980784972508,2001,1,9
2001-01-10,1.5312980759459045,2001,1,10
2001-01-11,1.021346152634718,2001,1,11
2001-01-12,1.2905602577954338,2001,1,12
2001-01-13,1.4514102564455988,2001,1,13
2001-01-14,1.7039102556613777,2001,1,14
2001-01-15,1.2652621766103385,2001,1,15
2001-01-16,0.9354326909479612,2001,1,16
2001-01-17,0.9671474340527008,2001,1,17
2001-01-18,0.9383391029058168,2001,1,18
2001-01-19,1.2403166655183602,2001,1,19
2001-01-20,1.6933974375088627,2001,1,20
2001-01-21,1.9339423060226135,2001,1,21
2001-01-22,1.7477230730786537,2001,1,22
2001-01-23,0.8872070508364301,2001,1,23
2001-01-24,0.7777564077942561,2001,1,24
2001-01-25,0.7151282050211031,2001,1,25
2001-01-26,0.8477403840217262,2001,1,26
2001-01-27,0.9742147437153528,2001,1,27
2001-01-28,0.5352884613108845,2001,1,28
2001-01-29,0.8975801283213047,2001,1,29
2001-01-30,1.9043108971359637,2001,1,30
2001-01-31,1.853766027551431,2001,1,31
2001-02-01,1.5342435941195642,2001,2,1
2001-02-02,1.9479326932714918,2001,2,2
2001-02-03,1.5932051277695558,2001,2,3
2001-02-04,1.030016023856707,2001,2,4
2001-02-05,1.1116826941217415,2001,2,5
2001-02-06,0.8199038449137542,2001,2,6
2001-02-07,0.8422756386705889,2001,2,7
2001-02-08,0.86014422816702,2001,2,8
2001-02-09,0.9432705116787782,2001,2,9
2001-02-10,1.0673076892032836,2001,2,10
2001-02-11,2.1262019264440126,2001,2,11
2001-02-12,1.8760987182037951,2001,2,12
2001-02-13,1.6058769244490527,2001,2,13
2001-02-14,0.920272436324292,2001,2,14
2001-02-15,0.752756409958984,2001,2,15
2001-02-16,0.9184294855162406,2001,2,16
2001-02-17,1.167756406781383,2001,2,17
2001-02-18,1.0878044858288307,2001,2,18
2001-02-19,0.856874999912599,2001,2,19
2001-02-20,1.4869391050858376,2001,2,20
2001-02-21,1.7985096163331316,2001,2,21
2001-02-22,2.248814105987549,2001,2,22
2001-02-23,1.970448714036208,2001,2,23
2001-02-24,0.9247032052842088,2001,2,24
2001-02-25,0.556522435365388,2001,2,25
2001-02-26,0.9707211505036609,2001,2,26
2001-02-27,0.7266192301258875,2001,2,27
2001-02-28,0.7472185890476865,2001,2,28
2001-03-01,1.1603544848751373,2001,3,1
2001-03-02,0.9386166653906306,2001,3,2
2001-03-03,0.6576499989628791,2001,3,3
2001-03-04,0.7406333319966992,2001,3,4
2001-03-05,0.9276333341995876,2001,3,5
2001-03-06,0.9283695038310409,2001,3,6
2001-03-07,0.9595166651407877,2001,3,7
2001-03-08,0.6624722228344117,2001,3,8
2001-03-09,0.6942243043147028,2001,3,9
2001-03-10,0.6181874988921401,2001,3,10
2001-03-11,0.725432516872019,2001,3,11
2001-03-12,1.0756180548326422,2001,3,12
2001-03-13,0.7614000003319233,2001,3,13
2001-03-14,1.2252666653941076,2001,3,14
2001-03-15,1.1994999999739229,2001,3,15
2001-03-16,0.8374562472048113,2001,3,16
2001-03-17,0.6403833314155539,2001,3,17
2001-03-18,0.6155499986807506,2001,3,18
2001-03-19,0.7993629220399807,2001,3,19
2001-03-20,0.8406076381603876,2001,3,20
2001-03-21,0.6596527770549679,2001,3,21
2001-03-22,0.9930034710689344,2001,3,22
2001-03-23,1.4875694427173585,2001,3,23
2001-03-24,0.6072569427520244,2001,3,24
2001-03-25,0.5369565221818461,2001,3,25
2001-03-26,0.8251562484591785,2001,3,26
2001-03-27,0.8402083333478205,2001,3,27
2001-03-28,0.7242534720701062,2001,3,28
2001-03-29,0.6151909713840319,2001,3,29
2001-03-30,0.7232118042561019,2001,3,30
2001-03-31,0.848194444603804,2001,3,31
2001-04-01,0.6825173596411737,2001,4,1
2001-04-02,0.8717542279136011,2001,4,2
2001-04-03,0.7301283195898262,2001,4,3
2001-04-04,0.7213956825356426,2001,4,4
2001-04-05,0.7050694426741555,2001,4,5
2001-04-06,1.0918402747354572,2001,4,6
2001-04-07,0.516388887727064,2001,4,7
2001-04-08,0.495032456046328,2001,4,8
2001-04-09,0.9063058584222148,2001,4,9
2001-04-10,0.8937771424571511,2001,4,10
2001-04-11,0.5793365940769711,2001,4,11
2001-04-12,0.3834022970232141,2001,4,12
2001-04-13,0.3461967951609777,2001,4,13
2001-04-14,0.38285640938255266,2001,4,14
2001-04-15,0.5385897430018164,2001,4,15
2001-04-16,1.0151531517633006,2001,4,16
2001-04-17,0.6455128185737592,2001,4,17
2001-04-18,0.7229967938903242,2001,4,18
